label;image
banana ;"<a title=""Uploaded by JoJan, CC BY-SA 3.0 &lt;http://creativecommons.org/licenses/by-sa/3.0/&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Musa-sp3.1.jpg""><img width=""250"" height=""250"" alt=""Musa-sp3.1"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Musa-sp3.1.jpg/256px-Musa-sp3.1.jpg""></a>"
mango ;"<a title=""Ivar Leidus, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Mangos_-_single_and_halved.jpg""><img width=""250"" height=""250"" alt=""Mangos - single and halved"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mangos_-_single_and_halved.jpg/512px-Mangos_-_single_and_halved.jpg""></a>"
grapes;"<a title=""Dragonflyir hassanahmadi, CC BY-SA 3.0 &lt;https://creativecommons.org/licenses/by-sa/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Abhar-iran.JPG""><img width=""250"" height=""250"" alt=""Abhar-iran"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Abhar-iran.JPG/256px-Abhar-iran.JPG""></a>"
watermelon ;"<a title=""Shu Suehiro, CC BY 3.0 &lt;https://creativecommons.org/licenses/by/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Citrullus_lanatus5SHSU.jpg""><img width=""250"" height=""250"" alt=""Citrullus lanatus5SHSU"" src=""https://upload.wikimedia.org/wikipedia/commons/8/89/Citrullus_lanatus5SHSU.jpg""></a>"
muskmelon;"<a title=""FASTILY, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Cucumis_melo_1_2017-12-27.jpg""><img width=""250"" height=""250"" alt=""Cucumis melo 1 2017-12-27"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Cucumis_melo_1_2017-12-27.jpg/512px-Cucumis_melo_1_2017-12-27.jpg""></a>"
apple;"<a title=""Abhijit Tembhekar from Mumbai, India, CC BY 2.0 &lt;https://creativecommons.org/licenses/by/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Red_Apple.jpg""><img width=""250"" height=""250"" alt=""Red Apple"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/512px-Red_Apple.jpg""></a>"
orange;"<a title=""Andrew Malone, CC BY 2.0 &lt;https://creativecommons.org/licenses/by/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Oranges_(356298118).jpg""><img width=""250"" height=""250"" alt=""Oranges (356298118)"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Oranges_%28356298118%29.jpg/512px-Oranges_%28356298118%29.jpg""></a>"
papaya;"<a title=""Judgefloro, CC0, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:330Carica_papaya_seeds_01.jpg""><img width=""250"" height=""250"" alt=""330Carica papaya seeds 01"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/330Carica_papaya_seeds_01.jpg/512px-330Carica_papaya_seeds_01.jpg""></a>"
coconut;"<a title=""Ivar Leidus, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Coconuts_-_single_and_cracked_open.jpg""><img width=""250"" height=""250"" alt=""Coconuts - single and cracked open"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Coconuts_-_single_and_cracked_open.jpg/512px-Coconuts_-_single_and_cracked_open.jpg""></a>"
cotton;"<a title=""Mamichaelraj, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:BALLS_OF_COTTON_(ANDHRA_-SOUTH_INDIA)_READY_FOR_HARVEST.jpg""><img width=""250"" height=""250"" alt=""BALLS OF COTTON (ANDHRA -SOUTH INDIA) READY FOR HARVEST"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/BALLS_OF_COTTON_%28ANDHRA_-SOUTH_INDIA%29_READY_FOR_HARVEST.jpg/512px-BALLS_OF_COTTON_%28ANDHRA_-SOUTH_INDIA%29_READY_FOR_HARVEST.jpg""></a>"
jute ;"<a title=""Malcolm Manners from Lakeland FL, USA, CC BY 2.0 &lt;https://creativecommons.org/licenses/by/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Jute_Field_Bangladesh_(7749587518).jpg""><img width=""250"" height=""250"" alt=""Jute Field Bangladesh (7749587518)"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Jute_Field_Bangladesh_%287749587518%29.jpg/512px-Jute_Field_Bangladesh_%287749587518%29.jpg""></a>"
coffee;"<a title=""MarkSweep, Public domain, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Roasted_coffee_beans.jpg""><img width=""250"" height=""250"" alt=""Roasted coffee beans"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Roasted_coffee_beans.jpg/512px-Roasted_coffee_beans.jpg""></a>"
groundnut;"<a title=""Aderiqueza, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Groundnut_-.jpg""><img width=""512"" alt=""Groundnut -"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Groundnut_-.jpg/512px-Groundnut_-.jpg""></a>"
mustard;"<a title=""Satdeep gill, CC BY-SA 3.0 &lt;https://creativecommons.org/licenses/by-sa/3.0&gt;, via Wikimedia Commons"" href="https://commons.wikimedia.org/wiki/File:Punjabi_Mustard_Flowers.JPG"><img width="512" alt="Punjabi Mustard Flowers" src="https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Punjabi_Mustard_Flowers.JPG/512px-Punjabi_Mustard_Flowers.JPG"></a>"
paddy;"<a title=""Kamalimaddy, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Paddy_5.jpg""><img width=""512"" alt=""Paddy 5"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Paddy_5.jpg/512px-Paddy_5.jpg""></a>"
pearlmillet;"<a title=""Sznu, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Pearl_millet_grain.jpg""><img width=""512"" alt=""Pearl millet grain"" src=""https://upload.wikimedia.org/wikipedia/commons/c/ca/Pearl_millet_grain.jpg""></a>"
rapeseed;"<a title=""H. Zell, CC BY-SA 3.0 &lt;https://creativecommons.org/licenses/by-sa/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Brassica_napus_003.JPG""><img width=""512"" alt=""Brassica napus 003"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Brassica_napus_003.JPG/512px-Brassica_napus_003.JPG""></a>"
sorghum;"<a title=""MGB CEE, CC BY-SA 4.0 &lt;https://creativecommons.org/licenses/by-sa/4.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:%E0%A4%A6%E0%A4%97%E0%A4%A1%E0%A5%80_%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%80,_%E0%A4%86%E0%A4%9F%E0%A4%AA%E0%A4%BE%E0%A4%A1%E0%A5%80_Dagadi_Jowar,_Aatpadi_(Sorghum_bicolor).jpg""><img width=""512"" alt=""दगडी ज्वारी, आटपाडी Dagadi Jowar, Aatpadi (Sorghum bicolor)""src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/%E0%A4%A6%E0%A4%97%E0%A4%A1%E0%A5%80_%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%80%2C_%E0%A4%86%E0%A4%9F%E0%A4%AA%E0%A4%BE%E0%A4%A1%E0%A5%80_Dagadi_Jowar%2C_Aatpadi_%28Sorghum_bicolor%29.jpg/512px-%E0%A4%A6%E0%A4%97%E0%A4%A1%E0%A5%80_%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%80%2C_%E0%A4%86%E0%A4%9F%E0%A4%AA%E0%A4%BE%E0%A4%A1%E0%A5%80_Dagadi_Jowar%2C_Aatpadi_%28Sorghum_bicolor%29.jpg""></a>"
sugarcane;"<a title=""Rufino Uribe, CC BY-SA 2.0 &lt;https://creativecommons.org/licenses/by-sa/2.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Cut_sugarcane.jpg""><img width=""512"" alt=""Cut sugarcane"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Cut_sugarcane.jpg/512px-Cut_sugarcane.jpg""></a>"
wheat;"<a title=""Denis Bastianelli, CIRAD, CC BY 3.0 &lt;https://creativecommons.org/licenses/by/3.0&gt;, via Wikimedia Commons"" href=""https://commons.wikimedia.org/wiki/File:Wheat_grain.jpg""><img width=""512"" alt=""Wheat grain"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Wheat_grain.jpg/512px-Wheat_grain.jpg""></a>"
